Município;Classificação de % em relação a população geral;% em relação a população geral;Doses Aplicadas - D1;População
JAMBEIRO;458;14,21765669;955;6717
LEME;459;14,21233205;14830;104346
VALENTIM GENTIL;460;14,18859001;1920;13532
CAPÃO BONITO;461;14,17504988;6679;47118
PEDERNEIRAS;462;14,14319373;6663;47111
MOTUCA;463;14,11887383;677;4795
PIRAPOZINHO;464;14,1060748;3915;27754
LIMEIRA;465;14,07667222;43424;308482
JARDINÓPOLIS;466;14,073827;6329;44970
TARABAI;467;14,04509284;1059;7540
RAFARD;468;14,03142512;1277;9101
LUIZIÂNIA;469;14,02220325;821;5855
GUARÁ;470;14,01820912;2987;21308
ROSEIRA;471;14,01722063;1514;10801
TABATINGA;472;13,96298967;2324;16644
SETE BARRAS;473;13,95931142;1784;12780
JUQUITIBA;474;13,94805031;4414;31646
NARANDIBA;475;13,94779772;684;4904
ITATIBA;476;13,94261754;17091;122581
SANDOVALINA;477;13,94120349;607;4354
ITAPEVA;478;13,91396988;13191;94804
ITARARÉ;479;13,88175822;7030;50642
ESTIVA GERBI;480;13,86867713;1582;11407
PINDAMONHANGABA;481;13,86629206;23591;170132
SANTO ANTÔNIO DE POSSE;482;13,81274172;3250;23529
BENTO DE ABREU;483;13,7437604;413;3005
CRAVINHOS;484;13,73563057;4887;35579
SOROCABA;485;13,72270887;94324;687357
TEODORO SAMPAIO;486;13,68968332;3186;23273
SANTA MARIA DA SERRA;487;13,64656831;851;6236
SANTA BÁRBARA D'OESTE;488;13,64010494;26515;194390
SÃO MIGUEL ARCANJO;489;13,629477;4498;33002
SÃO LOURENÇO DA SERRA;490;13,5686569;2168;15978
JUMIRIM;491;13,48741954;461;3418
SERTÃOZINHO;492;13,47233802;17129;127142
JACUPIRANGA;493;13,46637599;2409;17889
SANTA ERNESTINA;494;13,45740873;752;5588
CAMPOS DO JORDÃO;495;13,4529148;7050;52405
PORTO FELIZ;496;13,39837459;7155;53402
GUAIÇARA;497;13,39677892;1647;12294
INDAIATUBA;498;13,38872779;34305;256223
PARANAPANEMA;499;13,38073057;2729;20395
NANTES;500;13,36898396;425;3179
NOVA LUZITÂNIA;501;13,34134615;555;4160
OSASCO;502;13,33849565;93362;699944
MOGI DAS CRUZES;503;13,3007975;59958;450785
