Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3517406;Interior;Guaíra;3590;119;;;
3517505;Interior;Guapiaçu;1515;48;;;
3517604;Interior;Guapiara;1666;68;;;
3517703;Interior;Guará;1353;64;;;
3517802;Interior;Guaraçaí;579;12;;;
3517901;Interior;Guaraci;669;17;;;
3518008;Interior;Guarani d'Oeste;111;4;;;
3518107;Interior;Guarantã;227;12;;;
3518206;Interior;Guararapes;2385;65;;;
3518305;RMSP (exceto capital);Guararema;1272;56;;;
3518404;Interior;Guaratinguetá;5716;137;;;
3518503;Interior;Guareí;2679;21;;;
3518602;Interior;Guariba;2913;63;;;
3518701;Interior;Guarujá;16069;829;;;
3518800;RMSP (exceto capital);Guarulhos;48851;3463;;;
3518859;Interior;Guatapará;277;11;;;
3518909;Interior;Guzolândia;403;23;;;
3519006;Interior;Herculândia;587;13;;;
3519055;Interior;Holambra;1358;10;;;
3519071;Interior;Hortolândia;15926;480;;;
3519105;Interior;Iacanga;821;17;;;
3519204;Interior;Iacri;189;5;;;
3519253;Interior;Iaras;167;11;;;
3519303;Interior;Ibaté;2649;68;;;
3519402;Interior;Ibirá;1022;23;;;
3519501;Interior;Ibirarema;531;18;;;
3519600;Interior;Ibitinga;5446;143;;;
3519709;Interior;Ibiúna;2508;82;;;
3519808;Interior;Icém;675;14;;;
3519907;Interior;Iepê;523;12;;;
3520004;Interior;Igaraçu do Tietê;1332;30;;;
3520103;Interior;Igarapava;1095;41;;;
3520202;Interior;Igaratá;1724;23;;;
3520301;Interior;Iguape;1522;59;;;
3520400;Interior;Ilhabela;5457;32;;;
3520426;Interior;Ilha Comprida;817;29;;;
3520442;Interior;Ilha Solteira;1770;63;;;
3520509;Interior;Indaiatuba;17665;432;;;
3520608;Interior;Indiana;200;8;;;
3520707;Interior;Indiaporã;143;5;;;
3520806;Interior;Inúbia Paulista;241;10;;;
3520905;Interior;Ipaussu;1116;26;;;
3521002;Interior;Iperó;1773;19;;;
3521101;Interior;Ipeúna;388;5;;;
3521150;Interior;Ipiguá;756;18;;;
3521200;Interior;Iporanga;220;4;;;
3521309;Interior;Ipuã;1283;39;;;
3521408;Interior;Iracemápolis;3203;69;;;
3521507;Interior;Irapuã;437;15;;;
3521606;Interior;Irapuru;476;20;;;
3521705;Interior;Itaberá;1465;24;;;
3521804;Interior;Itaí;1446;36;;;
